/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10439/: vold = 166.39995075979314, vnew = 48.88994410151385, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1044/: vold = 114.66467753908262, vnew = 76.90000212172697, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10440/: vold = 49.73738715163754, vnew = 147.0866243365271, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10441/: vold = 293.037733182872, vnew = 89.8622510770936, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10442/: vold = 255.4808427192005, vnew = 27.794721810831533, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10443/: vold = 266.4641693800476, vnew = 27.13377250392395, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10444/: vold = 95.98564267040045, vnew = 175.49942558790963, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10445/: vold = 258.8610198169879, vnew = 46.65600527619061, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10446/: vold = 125.71390591422416, vnew = 65.69938277327768, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10447/: vold = 66.67133554153149, vnew = 150.7372589037576, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10448/: vold = 85.11346422699607, vnew = 164.5769472130621, difference = 0, maxdiff = 0.0
